feature,coef,std_err,z_value,p_value,odds_ratio,or_ci_lower,or_ci_upper,impact
LowFreqEnergyRatio,-1.2428113689665732,0.47136302726324414,-2.6366331194501917,0.008373333878372117,0.2885717946751988,0.1145589288373318,0.7269069423677114,1.2428113689665732
QValue,1.1083751968290372,0.4253728042461019,2.6056559934371832,0.00916985072948912,3.0294321624569935,1.31608289429321,6.973313965802684,1.1083751968290372
Jitter,0.672794607702264,0.34690714542701323,1.939408330359154,0.05245163697203422,1.9597062855506697,0.9928944612501953,3.867932469671682,0.672794607702264
Shimmer,-0.668807533885452,0.31189839943807895,-2.144312170534976,0.0320078822893169,0.5123191368892469,0.2780047265049188,0.9441238691252933,0.668807533885452
HNR,0.6096967906193266,0.5001869865121944,1.2189377314086967,0.2228678273572713,1.8398734473093759,0.6902843336760462,4.9039709246867345,0.6096967906193266
H1H2,0.39541582552094046,0.40352041199428446,0.9799152998647841,0.32712792998505635,1.4850015641012457,0.6733637203675038,3.274945736873961,0.39541582552094046
CPP,0.30017536812634177,0.3342551681638237,0.8980425636357583,0.369162858023517,1.3500955505438923,0.7012065932841224,2.599459293532129,0.30017536812634177
HighFreqNoiseRatio,0.1078010955160052,0.34291452624631596,0.3143672468356489,0.7532421293183504,1.113826178330597,0.5687586922809686,2.1812567831871967,0.1078010955160052
SpectralSlope,0.0005458745088757785,0.4494477874227974,0.0012145448796308615,0.9990309336303884,1.000546023525479,0.41463544036568256,2.4143916504333243,0.0005458745088757785
