,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
PC1,-0.29149365,0.429905,0.039708257,-0.4376847,-0.065407634,0.46530518,-0.44856736,0.33919066,0.004328683
PC2,0.15159789,0.21359229,0.5735064,0.14123663,-0.50694734,0.03882742,0.13963465,0.0012720525,0.5518483
PC3,0.6047673,-0.055725094,-0.015271604,-0.32937363,-0.18951213,0.14352797,-0.3720114,-0.55658543,-0.13317579
PC4,0.6679669,0.19442467,-0.23987994,0.29377502,0.010277994,0.039025106,-0.06187302,0.60221344,-0.0636777
PC5,0.069940984,0.233022,-0.04043079,0.31782386,0.6158025,0.45524576,0.006312549,-0.32270592,0.38408545
PC6,-0.10640089,0.4634844,-0.27985588,0.22204289,-0.3950499,0.2832129,0.42082804,-0.26259422,-0.40486145
PC7,-0.04792839,-0.6544151,0.10616021,0.23476064,-0.19348809,0.6557567,-0.0032311976,0.13921484,-0.12733936
PC8,0.23005038,-0.07229006,0.021754064,-0.6164955,0.18352851,0.20572937,0.67755985,0.13943133,0.08231318
PC9,0.09323385,0.16140565,0.72113883,0.090549916,0.31033522,-0.007789001,0.028894752,0.02414617,-0.58243346
