,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
PC1,-0.41214162,0.40100628,-0.22632287,-0.18405166,0.35333693,0.42349187,-0.41779464,0.3190358,0.060890332
PC2,-0.01972729,0.3131924,0.5923396,0.109401904,-0.37320334,0.21167886,-0.10194502,-0.04857719,0.58467525
PC3,-0.2498118,-0.015801786,-0.1420321,0.7292171,0.31049737,-0.18157281,0.29241246,0.23193564,0.3416682
PC4,0.1292756,0.1032648,0.17311533,-0.17506702,-0.21183774,-0.17178343,0.24318232,0.86912745,-0.15199296
PC5,0.6791679,0.18713164,-0.26973087,-0.2258482,0.3271783,-0.14905317,-0.024012422,0.029291663,0.49925292
PC6,0.49124956,0.30226463,-0.1321835,0.5431882,-0.16927008,0.39871022,-0.1316406,0.033704873,-0.38561192
PC7,-0.14738503,0.67064756,-0.095413394,-0.16076742,-0.0050997455,-0.04472432,0.6272308,-0.2809438,-0.13851155
PC8,0.0677131,-0.39157403,-0.055539016,-0.13900135,0.05786159,0.72731704,0.50709724,0.063755885,0.16164252
PC9,0.14740892,0.026658125,0.6673486,0.022842301,0.6749196,0.03451742,0.044047818,-0.041127622,-0.2671037
