feature,coef,std_err,z_value,p_value,odds_ratio,or_ci_lower,or_ci_upper,impact
HighFreqNoiseRatio,1.4886613341591868,0.2868635596108427,5.189440360353526,2.1092704543572627e-07,4.431159704722285,2.525449555962238,7.774923194327339,1.4886613341591868
Jitter,1.0579508527402834,0.36410990906426643,2.9055810523232757,0.0036657189526012007,2.8804624458700308,1.4110139290226218,5.88021403007322,1.0579508527402834
HNR,-0.7643214402221822,0.36640357857267414,-2.086009757872993,0.03697773917408381,0.46564979501732406,0.2270785563771866,0.9548666111806391,0.7643214402221822
H1H2,0.5706275771154308,0.2793338120466632,2.042815987561529,0.04107065730979529,1.7693771236607145,1.0234132515303787,3.0590725701981327,0.5706275771154308
SpectralSlope,0.5488733786853769,0.2391279664825776,2.2953123666752995,0.02171522940212691,1.731301397648728,1.083494186701069,2.7664241915562844,0.5488733786853769
QValue,0.4618360091057979,0.2910512724048948,1.5867857415284432,0.11256117924008037,1.5869850307907398,0.8970766200436899,2.807476453718331,0.4618360091057979
LowFreqEnergyRatio,-0.44614286302162975,0.29232605002999174,-1.526182367174793,0.12696445352979954,0.6400923200062861,0.3609227282163463,1.1351963899747377,0.44614286302162975
Shimmer,-0.39875055082288574,0.18081943912383922,-2.2052416087287514,0.027437144845646612,0.6711581003096477,0.4708808736181792,0.9566181615108705,0.39875055082288574
CPP,-0.022191066771095707,0.2635286206439409,-0.08420742580775896,0.9328915142199853,0.9780533437030747,0.5835076760669705,1.6393757655023118,0.022191066771095707
