feature,coef,abs_coef,selected
HighFreqNoiseRatio,0.77957344,0.77957344,True
Jitter,0.6662098,0.6662098,True
H1H2,0.28738654,0.28738654,True
Shimmer,-0.27156252,0.27156252,True
LowFreqEnergyRatio,-0.23220024,0.23220024,True
QValue,0.19328938,0.19328938,True
SpectralSlope,0.16912648,0.16912648,True
HNR,-0.105879925,0.105879925,True
CPP,0.0,0.0,False
