feature,coef,std_err,z_value,p_value,odds_ratio,or_ci_lower,or_ci_upper,impact
HighFreqNoiseRatio,1.916862401619928,0.6098216390892512,3.143316469521645,0.0016704513173050831,6.799590580503309,2.057792799877895,22.46797251171876,1.916862401619928
CPP,-1.0024292469418183,0.4290397901409209,-2.3364482035863476,0.019467894156420282,0.36698685575815826,0.15828916133935525,0.8508438048422085,1.0024292469418183
QValue,-0.7517902647652185,0.4812909850382137,-1.562028560966143,0.11828126067478077,0.471521648072567,0.18358027127035761,1.2110923633707986,0.7517902647652185
Jitter,0.6976827007538896,0.49403030172109813,1.4122265341281883,0.15788327002843794,2.0090916424665903,0.7629224448443738,5.290772679590629,0.6976827007538896
HNR,-0.5440494736762964,0.530465327924294,-1.025607980459641,0.3050764042582881,0.5803932002451189,0.2052056952471073,1.6415541804779379,0.5440494736762964
H1H2,0.36153465368956733,0.3924070707090061,0.9213255332946522,0.356880494239169,1.435530767559967,0.6652654984734546,3.0976333348715452,0.36153465368956733
LowFreqEnergyRatio,-0.2185706617505294,0.382805632687557,-0.570970338696466,0.5680197492781165,0.8036666889431386,0.3795169895513724,1.7018477820461304,0.2185706617505294
SpectralSlope,0.16529968655975194,0.34797183862327263,0.4750375410083446,0.6347602156135546,1.179746619944871,0.5964781999149035,2.333366227751339,0.16529968655975194
Shimmer,-0.04972902730345516,0.256676191476533,-0.19374226731894498,0.8463776943054411,0.9514872166286404,0.5753336657152943,1.573570220825078,0.04972902730345516
