feature,coef,abs_coef,selected
HighFreqNoiseRatio,0.6790751,0.6790751,True
CPP,-0.6005856,0.6005856,True
Jitter,0.3547531,0.3547531,True
QValue,-0.18455575,0.18455575,True
H1H2,0.11443462,0.11443462,True
SpectralSlope,0.026840001,0.026840001,True
HNR,-0.0,0.0,False
LowFreqEnergyRatio,0.0,0.0,False
Shimmer,0.0,0.0,False
