feature,coef,std_err,z_value,p_value,odds_ratio,or_ci_lower,or_ci_upper,impact
Jitter,2.07172470175429,0.5232838987525739,3.9590836001125855,7.52378991065643e-05,7.938502867536444,2.846548211864975,22.139034046641218,2.07172470175429
HighFreqNoiseRatio,1.1641411376967912,0.25457694474800513,4.572845898709033,4.811440101195951e-06,3.2031706189686195,1.944839578398732,5.2756546751642865,1.1641411376967912
LowFreqEnergyRatio,-0.6607736241528871,0.28429428335954027,-2.3242592722739426,0.020111602249296374,0.5164516404423043,0.295827081184505,0.9016155513808234,0.6607736241528871
H1H2,0.5765256070191944,0.2790416790131326,2.0660913776685716,0.03881985223693227,1.7798437988870501,1.0300568202053062,3.0754069933785653,0.5765256070191944
SpectralSlope,0.48094252552321415,0.2467431160801746,1.9491628912027714,0.051275975015438416,1.6175983116133208,0.9973384527868943,2.623607152038057,0.48094252552321415
Shimmer,-0.410148396781077,0.1885108057809742,-2.1757288399563564,0.029575542377549446,0.6635517738823985,0.45857896071714044,0.9601420787685526,0.410148396781077
CPP,-0.2636216407742409,0.26074570233820177,-1.0110296676426478,0.3120022305280632,0.7682641645074039,0.46085407488217084,1.280730406077383,0.2636216407742409
QValue,0.16914209835974994,0.25635143576684105,0.659805543330717,0.5093786255631252,1.1842884124088673,0.7165569988285824,1.957330744181924,0.16914209835974994
HNR,0.06499716846826147,0.39450120493326696,0.16475784523714257,0.8691345851366107,1.067156002693823,0.4925245435174001,2.3122135720434933,0.06499716846826147
