feature,coef,abs_coef,selected
Jitter,0.68496424,0.68496424,True
HighFreqNoiseRatio,0.6773115,0.6773115,True
SpectralSlope,0.17099495,0.17099495,True
LowFreqEnergyRatio,-0.10122408,0.10122408,True
H1H2,0.08148887,0.08148887,True
Shimmer,-0.075309806,0.075309806,True
CPP,-0.05418601,0.05418601,True
HNR,-0.0,0.0,False
QValue,0.0,0.0,False
