feature,coef,abs_coef,selected
CPP,-0.61459905,0.61459905,True
HighFreqNoiseRatio,0.601725,0.601725,True
Jitter,0.44751915,0.44751915,True
H1H2,0.17417663,0.17417663,True
QValue,-0.13058971,0.13058971,True
SpectralSlope,0.06219641,0.06219641,True
HNR,-0.0,0.0,False
LowFreqEnergyRatio,0.0,0.0,False
Shimmer,-0.0,0.0,False
