,CPP,H1H2,HNR,HighFreqNoiseRatio,Jitter,LowFreqEnergyRatio,QValue,Shimmer,SpectralSlope
PC1,-0.3983272,0.37994605,-0.34289268,-0.038797498,0.46635288,0.36545622,-0.37727255,0.26320094,0.1234651
PC2,-0.107237026,0.3617241,0.4663661,0.41481048,-0.25350142,0.1335198,-0.0067566037,-0.052054457,0.61906826
PC3,-0.38510352,-0.20891842,-0.20952904,0.5198442,0.26065078,-0.43074617,0.42547858,0.22716662,0.08826523
PC4,0.23939617,0.30699477,0.13167286,-0.23341717,-0.1254542,-0.077883005,0.28727767,0.8187887,-0.043291315
PC5,-0.15523016,-0.11314979,0.035426736,0.12802884,-0.072858304,0.7575565,0.5446191,-0.02546515,-0.2626709
PC6,0.71762115,-0.19547269,-0.36024866,0.3070008,0.20656806,0.23111832,-0.007921338,0.08362605,0.34588963
PC7,0.057883807,0.43673852,-0.2835766,-0.38666868,0.14493461,-0.13088775,0.5371512,-0.4088528,0.2866196
PC8,0.23905206,0.5860445,-0.0673583,0.48770833,0.012539148,-0.11179509,-0.041903436,-0.1634836,-0.56202453
PC9,0.15699491,-0.041272707,0.6226561,-0.060768418,0.75195247,-0.008319668,0.08425817,-0.06683114,-0.07202905
