feature,coef,std_err,z_value,p_value,odds_ratio,or_ci_lower,or_ci_upper,impact
Jitter,1147.2152964143545,,,,inf,,,1147.2152964143545
HNR,439.88472233962426,,,,1.0952356852304422e+191,,,439.88472233962426
H1H2,247.78278350073717,,,,4.080332786360662e+107,,,247.78278350073717
HighFreqNoiseRatio,193.9607769222708,,,,1.7222457551408743e+84,,,193.9607769222708
Shimmer,-123.47106214514886,,,,2.3834115281881698e-54,,,123.47106214514886
LowFreqEnergyRatio,-107.69469492843041,,,,1.6935119375473667e-47,,,107.69469492843041
QValue,-84.02348968795665,,,,3.228955637225181e-37,,,84.02348968795665
CPP,-27.24238706896531,,,,1.4749646847506704e-12,,,27.24238706896531
SpectralSlope,-17.831469249674957,,,,1.8025665208684855e-08,,,17.831469249674957
