feature,coef,abs_coef,selected
HighFreqNoiseRatio,0.7534937,0.7534937,True
Jitter,0.57659954,0.57659954,True
Shimmer,-0.3219157,0.3219157,True
SpectralSlope,0.27422,0.27422,True
HNR,-0.247129,0.247129,True
H1H2,0.24600954,0.24600954,True
QValue,0.23511721,0.23511721,True
LowFreqEnergyRatio,-0.19640756,0.19640756,True
CPP,-0.0,0.0,False
