feature,coef,std_err,z_value,p_value,odds_ratio,or_ci_lower,or_ci_upper,impact
HighFreqNoiseRatio,1.4859697549507944,0.286647083446619,5.183969559653726,2.1721240041858248e-07,4.419248923987613,2.5197301063225055,7.750735288339657,1.4859697549507944
HNR,-1.0396214479493078,0.39117198733068304,-2.6577093493927735,0.007867371051233864,0.35358850828197885,0.16426004694414906,0.761139641166579,1.0396214479493078
Jitter,0.8197867905315245,0.36108003623275403,2.2703741782142886,0.02318488982487215,2.27001579707171,1.11860561602768,4.606602760724563,0.8197867905315245
SpectralSlope,0.7298052154771393,0.2524611890885237,2.890762014201075,0.0038430902438105325,2.074676453450831,1.264896597041726,3.402872927771288,0.7298052154771393
QValue,0.5508294562886503,0.29734030726138044,1.8525219852027572,0.06395090353442093,1.7346912718848475,0.9685580720705732,3.10683881072875,0.5508294562886503
Shimmer,-0.47789276273565245,0.19066649894759102,-2.506432778560706,0.012195624486021987,0.6200886900314357,0.42673492898232,0.9010511148498757,0.47789276273565245
H1H2,0.44807814229218534,0.2756072656954448,1.6257849413423178,0.10399541288768675,1.5653010070832651,0.9120119623805867,2.6865516504633504,0.44807814229218534
LowFreqEnergyRatio,-0.3456429534253355,0.29037346816415194,-1.1903393089272847,0.23391305665019557,0.7077651471195674,0.4006109616305066,1.250418863823313,0.3456429534253355
CPP,-0.12150858597560445,0.27024548060669124,-0.44962300832125707,0.6529822949579088,0.8855834497183301,0.5214301286833094,1.5040520354958953,0.12150858597560445
