feature,coef,std_err,z_value,p_value,odds_ratio,or_ci_lower,or_ci_upper,impact
HighFreqNoiseRatio,2.6731117323072078,0.8757414690332881,3.052398255455457,0.0022702067839731263,14.484972494255292,2.6030660317146537,80.60280669143323,2.6731117323072078
Shimmer,1.0228787504719565,0.5284568230917277,1.9355956925442304,0.052917238352616254,2.781189601750175,0.987204971214814,7.835268081526075,1.0228787504719565
CPP,-1.0173364707220678,0.539156850959885,-1.8869026126828554,0.0591734256476336,0.3615566755903473,0.12567394292462675,1.0401776742402773,1.0173364707220678
QValue,-1.0172223882531912,0.6585230430688997,-1.5447027996357625,0.12241816739375051,0.3615979252214226,0.09946953768041576,1.3145035412201487,1.0172223882531912
H1H2,-0.7884868864796055,0.6500607966007171,-1.2129432979234294,0.22515150006190676,0.45453203378207097,0.1271252274312758,1.6251642094072458,0.7884868864796055
Jitter,0.6612770952211313,0.6983678277392825,0.9468894026258065,0.3436951385496404,1.9372648269143165,0.49287548877206333,7.614489044585008,0.6612770952211313
SpectralSlope,0.3995473114185904,0.4274856870963923,0.9346448863175572,0.3499713385860782,1.4911495184696641,0.6451262536833064,3.4466538506799695,0.3995473114185904
LowFreqEnergyRatio,0.20251853532157776,0.40386671171142496,0.5014489420615666,0.6160552027676016,1.2244827810936896,0.5548565460746487,2.702244556367219,0.20251853532157776
HNR,-0.029821786374541106,0.576021929767608,-0.05177196358925518,0.9587103953968328,0.9706184955769895,0.31386132742573464,3.001644935625453,0.029821786374541106
