feature,coef,std_err,z_value,p_value,odds_ratio,or_ci_lower,or_ci_upper,impact
HighFreqNoiseRatio,1.5316092093550153,0.2839936217070698,5.393111296474188,6.924803030476567e-08,4.625614418364919,2.6511458399304955,8.070589110988466,1.5316092093550153
Jitter,0.804969823066257,0.3786676222395399,2.1257952245968474,0.033520313830118366,2.236629003196349,1.064808447375757,4.698036825560395,0.804969823066257
QValue,0.6145683949476204,0.31147441271518395,1.9730943212648075,0.048484817152808356,1.8488584506797248,1.0040981384172363,3.4043261707845374,0.6145683949476204
HNR,-0.4637466810455118,0.35196542815703113,-1.3175915699271716,0.18764040913446645,0.6289228523690734,0.31550326637716275,1.253692105232297,0.4637466810455118
SpectralSlope,0.4592001938467611,0.24512861106018788,1.8733031279405037,0.06102653819669705,1.5828075393970993,0.9789809890228381,2.5590688020131265,0.4592001938467611
LowFreqEnergyRatio,-0.3765952927289677,0.2940674944019355,-1.280642369177438,0.20031931083919208,0.6861937252984248,0.3855991229403212,1.221117478298323,0.3765952927289677
H1H2,0.2206982047813083,0.28202267048893176,0.7825548364558509,0.433888571739686,1.2469470511141745,0.7174470928891029,2.1672356940230513,0.2206982047813083
Shimmer,-0.18433109631419947,0.18189868647312854,-1.013372333183012,0.31088234931353054,0.8316603985437271,0.5822554729317659,1.1878961223383229,0.18433109631419947
CPP,0.16148181297984684,0.266806171956769,0.6052401704035992,0.5450194283780522,1.1752510836488632,0.6966663516222064,1.9826063170721977,0.16148181297984684
