feature,coef,abs_coef,selected
HighFreqNoiseRatio,0.77284724,0.77284724,True
Jitter,0.41176912,0.41176912,True
LowFreqEnergyRatio,-0.21521646,0.21521646,True
QValue,0.18914531,0.18914531,True
SpectralSlope,0.13426507,0.13426507,True
Shimmer,-0.076960154,0.076960154,True
HNR,-0.064936474,0.064936474,True
CPP,0.0,0.0,False
H1H2,0.0,0.0,False
