feature,coef,std_err,z_value,p_value,odds_ratio,or_ci_lower,or_ci_upper,impact
Jitter,1.82400956656522,0.4408128666506384,4.137831956731017,3.506029913307789e-05,6.196654604866597,2.6117806341074514,14.7020495483292,1.82400956656522
HighFreqNoiseRatio,0.8429080371443173,0.21304590112641292,3.956462117730063,7.606794447114695e-05,2.323112861877675,1.5301193576272263,3.5270799902763432,0.8429080371443173
H1H2,0.48143148524417956,0.25806593092302904,1.8655367778390388,0.062106202052964916,1.618389445432925,0.9759260684259545,2.6837938670017336,0.48143148524417956
Shimmer,-0.4701259300938959,0.18234331497110942,-2.578246041914851,0.009930326324448086,0.6249235666439272,0.43713541390140565,0.8933832668955287,0.4701259300938959
LowFreqEnergyRatio,-0.4246170511734332,0.27063280897556796,-1.568978472272985,0.11665295528675027,0.6540201934456328,0.38479382415968244,1.111614549346711,0.4246170511734332
SpectralSlope,0.3943278073720187,0.22662882618357222,1.7399719797895798,0.08186393820630203,1.4833867340898073,0.9513659073608101,2.3129231201671585,0.3943278073720187
CPP,-0.36632571908839334,0.23247801567194934,-1.575743487097365,0.11508493104417226,0.6932769508934238,0.4395629869964637,1.093433580302678,0.36632571908839334
HNR,0.26599996510712576,0.35626554560741186,0.7466339880091728,0.45528452641168926,1.3047350131609723,0.6490356239789992,2.6228659748008614,0.26599996510712576
QValue,0.2312512506802213,0.24580199979160164,0.9408029669257495,0.346805840188421,1.2601758197089634,0.7784022821718113,2.0401316041216853,0.2312512506802213
