PC,explained_variance_ratio,cumulative_variance
PC1,0.42391956,0.42391956
PC2,0.2138112,0.6377308
PC3,0.14725283,0.78498363
PC4,0.07554178,0.8605254
PC5,0.041602753,0.90212816
PC6,0.03478013,0.9369083
PC7,0.028986353,0.96589464
PC8,0.022483649,0.9883783
PC9,0.011621715,1.0
