feature,coef,std_err,z_value,p_value,odds_ratio,or_ci_lower,or_ci_upper,impact
HighFreqNoiseRatio,1.6192547368664636,0.524533528337037,3.087037623696035,0.0020216200750723147,5.049325837578443,1.8061326693838582,14.116178643031143,1.6192547368664636
CPP,-1.1255332237081919,0.4574019776623175,-2.4607091326114254,0.013866273176331186,0.32447940111144485,0.13238715902698317,0.7952952727400272,1.1255332237081919
HNR,-0.7847754348296677,0.5581980243190375,-1.4059086572136092,0.1597512502696371,0.45622214188597143,0.15276973996553267,1.362433704436382,0.7847754348296677
SpectralSlope,0.518561743980068,0.36269763130334787,1.4297356784951285,0.15279289608918845,1.6796102021769643,0.8250489585984905,3.419300638896782,0.518561743980068
Jitter,0.49942855865218533,0.4927991370772032,1.013452583570461,0.310844033686402,1.6477793923347803,0.6272312405527979,4.32882922637943,0.49942855865218533
QValue,-0.46782517073311136,0.43707245429683683,-1.0703606830719854,0.2844569894217477,0.626363020673346,0.26594348909296256,1.4752406047056725,0.46782517073311136
Shimmer,-0.13127430848890762,0.2570603092339665,-0.5106751364304426,0.6095785536343614,0.8769771791090802,0.5298807718894039,1.4514377827596339,0.13127430848890762
H1H2,0.017490184661812475,0.36951678915013675,0.04733258454112112,0.9622481584690503,1.0176440335813972,0.4932449295759116,2.0995641657669277,0.017490184661812475
LowFreqEnergyRatio,0.012501382196615902,0.3688789856854067,0.03389019890462812,0.9729647088411975,1.0125798511241106,0.49140426266514003,2.0865060252869916,0.012501382196615902
