PC,explained_variance_ratio,cumulative_variance
PC1,0.36365512,0.36365512
PC2,0.29097047,0.6546256
PC3,0.09594339,0.750569
PC4,0.08129961,0.8318686
PC5,0.054974154,0.8868427
PC6,0.047630038,0.93447274
PC7,0.031813063,0.9662858
PC8,0.022282427,0.98856825
PC9,0.011431718,0.99999994
