feature,coef,std_err,z_value,p_value,odds_ratio,or_ci_lower,or_ci_upper,impact
Jitter,1.623667312282862,0.4586087410763876,3.540419461853253,0.0003994915434289345,5.071655598283743,2.0643402767096846,12.460005163780545,1.623667312282862
HighFreqNoiseRatio,1.4551267521861637,0.28153748831409664,5.168500866082725,2.3597919518064454e-07,4.2850265676669235,2.46779099084458,7.440440764121328,1.4551267521861637
QValue,0.49154358610800925,0.2939491837681773,1.6722059908683555,0.09448370955789168,1.6348377862230417,0.9188924182909689,2.908604461263867,0.49154358610800925
SpectralSlope,0.39958599855084537,0.23338052318799152,1.7121651502553743,0.08686623779070711,1.491207207884209,0.9438090398532388,2.356089889954435,0.39958599855084537
LowFreqEnergyRatio,-0.2902762770444341,0.28885009549545804,-1.0049374453088886,0.3149269722525664,0.7480568680861341,0.4246830890020213,1.3176627287086828,0.2902762770444341
H1H2,0.2628842116527594,0.26901413636484084,0.9772133732638943,0.3284635286486616,1.3006761070956077,0.7676865194551452,2.2037098381903157,0.2628842116527594
Shimmer,-0.2367676103112299,0.17888357824880358,-1.3235849407144418,0.1856409292671526,0.7891746627638493,0.5557854274314024,1.1205703093489328,0.2367676103112299
HNR,-0.20557907833555353,0.37446130404211087,-0.548999525762573,0.583005775278527,0.814175708361545,0.3908193884407878,1.6961340805804348,0.20557907833555353
CPP,0.18035074023630962,0.2683730972174579,0.6720149750709724,0.501574162947806,1.1976373490713457,0.7077595477964493,2.0265854757541932,0.18035074023630962
