feature,coef,abs_coef,selected
HighFreqNoiseRatio,0.7703934,0.7703934,True
Jitter,0.65196216,0.65196216,True
QValue,0.1308666,0.1308666,True
LowFreqEnergyRatio,-0.11392625,0.11392625,True
SpectralSlope,0.11062453,0.11062453,True
Shimmer,-0.08978202,0.08978202,True
CPP,0.0,0.0,False
H1H2,0.0,0.0,False
HNR,-0.0,0.0,False
