feature,coef,abs_coef,selected
HighFreqNoiseRatio,0.6725107,0.6725107,True
LowFreqEnergyRatio,-0.4661367,0.4661367,True
Shimmer,-0.37559643,0.37559643,True
QValue,0.36907366,0.36907366,True
H1H2,0.24612893,0.24612893,True
SpectralSlope,0.24035132,0.24035132,True
CPP,0.19999267,0.19999267,True
Jitter,0.17265017,0.17265017,True
HNR,-0.14845257,0.14845257,True
