feature,coef,std_err,z_value,p_value,odds_ratio,or_ci_lower,or_ci_upper,impact
HighFreqNoiseRatio,1.2222593796046721,0.4495996004989785,2.7185508578036406,0.006556857491259294,3.394849328470205,1.4064381241029116,8.194460719959336,1.2222593796046721
LowFreqEnergyRatio,-1.21277630184207,0.44971328471217703,-2.69677668654655,0.007001420549095029,0.29737054194114315,0.12316896793599359,0.7179506388356084,1.21277630184207
Shimmer,-0.5803438058302488,0.27431140284449884,-2.1156386494047172,0.034375552087123874,0.5597059033295172,0.3269381479571522,0.9581956103298395,0.5803438058302488
SpectralSlope,0.4424263674815189,0.4395121994688819,1.006630459896582,0.31411239117351564,1.5564792311084366,0.6577030678036588,3.6834670772664335,0.4424263674815189
CPP,-0.3597732931669698,0.35972558449740905,-1.000132625177682,0.3172463292983766,0.6978345119916318,0.3447890552194071,1.4123795368641063,0.3597732931669698
Jitter,0.3134805237068461,0.3409344891806349,0.9194743672317556,0.35784750692594003,1.3681788154506127,0.7013566163158126,2.6689892524018646,0.3134805237068461
QValue,0.2063591980759672,0.34710352144767087,0.5945177312385111,0.5521658865025962,1.2291946490603882,0.6225376298771105,2.4270331828406064,0.2063591980759672
HNR,0.11007072130616347,0.4692180179701054,0.234583321804953,0.8145321556463004,1.1163570178936557,0.44504508167490014,2.800284831168606,0.11007072130616347
H1H2,-0.09877185016098952,0.4115777757990441,-0.239983439264261,0.8103430950625836,0.9059493766513796,0.4043600975041728,2.029736064762309,0.09877185016098952
