feature,coef,abs_coef,selected
HighFreqNoiseRatio,0.5699462,0.5699462,True
LowFreqEnergyRatio,-0.38307232,0.38307232,True
QValue,0.14635493,0.14635493,True
Shimmer,-0.12722316,0.12722316,True
SpectralSlope,0.0116314,0.0116314,True
CPP,0.0,0.0,False
Jitter,0.0,0.0,False
H1H2,-0.0,0.0,False
HNR,0.0,0.0,False
