feature,coef,abs_coef,selected
LowFreqEnergyRatio,-0.34947792,0.34947792,True
QValue,0.31782344,0.31782344,True
HighFreqNoiseRatio,0.30577102,0.30577102,True
Shimmer,-0.1876723,0.1876723,True
HNR,0.1065788,0.1065788,True
CPP,0.0,0.0,False
H1H2,-0.0,0.0,False
Jitter,0.0,0.0,False
SpectralSlope,0.0,0.0,False
