feature,coef,abs_coef,selected
Jitter,0.76426226,0.76426226,True
HighFreqNoiseRatio,0.49595132,0.49595132,True
H1H2,0.3035214,0.3035214,True
Shimmer,-0.27181476,0.27181476,True
SpectralSlope,0.22843523,0.22843523,True
LowFreqEnergyRatio,-0.20962462,0.20962462,True
CPP,-0.16918775,0.16918775,True
QValue,0.1406284,0.1406284,True
HNR,0.0,0.0,False
