feature,coef,std_err,z_value,p_value,odds_ratio,or_ci_lower,or_ci_upper,impact
Jitter,1.8750069417635695,0.4337017884917467,4.32326310731654,1.537382036912468e-05,6.520864386471839,2.787003644811237,15.257128359312471,1.8750069417635695
H1H2,0.6684914006959523,0.2582626046834052,2.5884173262924834,0.009641808871179007,1.951291382253096,1.1762201060396718,3.2370965594825294,0.6684914006959523
HighFreqNoiseRatio,0.6682906119125877,0.19086401913701706,3.501396517448564,0.0004628266728020982,1.9508996241620948,1.3420576668581548,2.8359506730183366,0.6682906119125877
Shimmer,-0.5442013576081911,0.18038857748725684,-3.0168282559167863,0.0025543448818830033,0.5803050545379485,0.40748283385178047,0.8264248904403754,0.5442013576081911
LowFreqEnergyRatio,-0.5073223360539594,0.2682334192585053,-1.8913464901442287,0.05857810655490206,0.6021056588380188,0.35591968509411365,1.0185759304347066,0.5073223360539594
SpectralSlope,0.39238456609981165,0.22407768085681562,1.7511095464726056,0.07992704213408554,1.4805069547247531,0.9542785985738892,2.2969192081474152,0.39238456609981165
QValue,0.27996536152657475,0.2414582615939299,1.1594772515897749,0.2462617038750048,1.3230839819343463,0.8242477432586143,2.123816822755918,0.27996536152657475
CPP,-0.24468666022503407,0.22109882811202586,-1.1066845641581455,0.26843033137097594,0.7829498291334351,0.5076147930974279,1.207629177234042,0.24468666022503407
HNR,0.21791284434847283,0.34295896462414655,0.6353904310018154,0.5251738074267132,1.2434786867010263,0.6349085066476455,2.435373330314857,0.21791284434847283
