feature,coef,abs_coef,selected
HighFreqNoiseRatio,0.8256858,0.8256858,True
Jitter,0.64975095,0.64975095,True
CPP,-0.45598257,0.45598257,True
QValue,-0.2752749,0.2752749,True
HNR,0.19412117,0.19412117,True
Shimmer,0.10615472,0.10615472,True
LowFreqEnergyRatio,0.07016304,0.07016304,True
H1H2,-0.03938843,0.03938843,True
SpectralSlope,0.0017920986,0.0017920986,False
