PC,explained_variance_ratio,cumulative_variance
PC1,0.33651635,0.33651635
PC2,0.2319636,0.56847996
PC3,0.1935866,0.76206654
PC4,0.10753018,0.8695967
PC5,0.039965335,0.90956205
PC6,0.034408245,0.9439703
PC7,0.02535794,0.9693283
PC8,0.020137252,0.98946553
PC9,0.010534535,1.0000001
