feature,coef,std_err,z_value,p_value,odds_ratio,or_ci_lower,or_ci_upper,impact
Jitter,2.379497359103271,0.9631905595198141,2.470432600885891,0.013494974625475949,10.799473242555855,1.635058448773297,71.32994077623376,2.379497359103271
HighFreqNoiseRatio,2.1855380907207786,0.7307334798757276,2.99088265545526,0.0027817236492546538,8.895433816196945,2.124054554551064,37.25363014278352,2.1855380907207786
QValue,-1.191538153923096,0.6609820910872116,-1.8026784235004054,0.07143873266701097,0.3037536846326489,0.08315580627312816,1.109559332812658,1.191538153923096
CPP,-1.0365375813365207,0.5368359584730517,-1.9308274063548099,0.053504399919100644,0.3546806111616263,0.12384596224582756,1.0157645324300673,1.0365375813365207
HNR,0.8533063847929738,0.7086741205545176,1.204088536668004,0.2285553601237359,2.347395427525325,0.5852773928819927,9.41479264393494,0.8533063847929738
H1H2,-0.5013903994365417,0.4604604094687595,-1.0888892706649933,0.2762027182413578,0.6056879258292471,0.24564295045356965,1.493459766779171,0.5013903994365417
Shimmer,0.4780576115775169,0.35781074393503537,1.336062764130732,0.18152875940944213,1.612938404632856,0.7999239968085908,3.252271850224412,0.4780576115775169
LowFreqEnergyRatio,0.1619248851040466,0.4856766088837713,0.3334006253177355,0.7388318912006419,1.1757719200184813,0.45385215831958237,3.046013073998634,0.1619248851040466
SpectralSlope,-0.0006197999261870566,0.4072939568638136,-0.0015217508527736354,0.9987858189578017,0.9993803921101104,0.4498229192238871,2.220342995989166,0.0006197999261870566
