feature,coef,std_err,z_value,p_value,odds_ratio,or_ci_lower,or_ci_upper,impact
Jitter,2.098319728870136,0.5351512200144838,3.9209846682463794,8.818787429828851e-05,8.152460054387044,2.8560587396182906,23.270741605006023,2.098319728870136
HighFreqNoiseRatio,1.5030093289267896,0.2976272597163562,5.04997200309939,4.4187482101500206e-07,4.495196260493845,2.508464013626206,8.055443215686061,1.5030093289267896
H1H2,0.6581632774995726,0.2957409118776664,2.2254725371639577,0.026049532752058416,1.9312419193495123,1.0816868723631594,3.448036068797367,0.6581632774995726
SpectralSlope,0.6404406679796683,0.27339257542718126,2.342567887876864,0.019151549448378824,1.8973167818667338,1.1102675990582633,3.2422912942848408,0.6404406679796683
QValue,0.5462365074335854,0.302060337633064,1.808368856745241,0.07054911164453702,1.7267421924253872,0.9552417057625547,3.1213446618956366,0.5462365074335854
Shimmer,-0.5316214958732136,0.2019634773759582,-2.6322655104793613,0.008481754983243776,0.5876513225254781,0.3955561072569401,0.8730343699171506,0.5316214958732136
HNR,-0.4194301794978018,0.43346751745976836,-0.9676161710011653,0.3332360980528747,0.6574213252541968,0.2811095291374441,1.5374889646222762,0.4194301794978018
LowFreqEnergyRatio,-0.3779679114287163,0.29730151926369,-1.2713285568294714,0.20361178716368755,0.6852524890864233,0.3826371293978514,1.227196572737448,0.3779679114287163
CPP,0.07922717205645655,0.2819816942035232,0.28096565729289336,0.7787367407262213,1.082450196578517,0.6228517232838324,1.8811835694944834,0.07922717205645655
